"nonlinear","interactions","high_noise","n_extra_vars","mean_cindex","sd_cindex","mce_cindex"
FALSE,FALSE,FALSE,0,0.853371960721145,0.00985129746125849,0.00069659192383417
FALSE,FALSE,FALSE,10,0.852842977120358,0.00894935957028235,0.000632815283942338
FALSE,FALSE,TRUE,0,0.858816251319423,0.008934342645408,0.000631753427001215
FALSE,FALSE,TRUE,10,0.857601173982786,0.00924490825320268,0.00065371373172871
FALSE,TRUE,FALSE,0,0.86430680794093,0.00900090517253905,0.000636460108431943
FALSE,TRUE,FALSE,10,0.863918507527947,0.00872390620231775,0.000616873323409426
FALSE,TRUE,TRUE,0,0.86067801405106,0.00951159448950511,0.000672571296342566
FALSE,TRUE,TRUE,10,0.859934231086672,0.00979104314288306,0.000692331300122265
TRUE,FALSE,FALSE,0,0.752562880166699,0.0114576816320854,0.000810180437872416
TRUE,FALSE,FALSE,10,0.751407903269292,0.0117718755184392,0.000832397300637224
TRUE,FALSE,TRUE,0,0.724449241470495,0.0131623775196639,0.000930720640069169
TRUE,FALSE,TRUE,10,0.721931000703854,0.0130011902381735,0.000919322978090883
TRUE,TRUE,FALSE,0,0.751809984795055,0.0116567060372789,0.000824253588525811
TRUE,TRUE,FALSE,10,0.751247183643289,0.0111815979864488,0.000790658376071982
TRUE,TRUE,TRUE,0,0.721317891604486,0.0134528313775692,0.000951258829323834
TRUE,TRUE,TRUE,10,0.718598957819387,0.0129687955783646,0.000917032329728371
